complaint_id,date,raw_text,_true_ward,_true_issue,extracted_ward,extracted_issue,extracted_urgency,extracted_duration
CMP00103,2026-06-01,"Sir humara area Ward 13 Govt School ke paas paani bhar gaya hai, bahut dino se yehi problem hai.",Ward 13,waterlogging,Ward 13,waterlogging,low,not specified
CMP00164,2026-06-01,"Stagnant water near New Market Complex for over a month, mosquito breeding ground, Ward 4 residents worried.",Ward 4,waterlogging,Ward 4,waterlogging,medium,not specified
CMP00255,2026-06-01,"Contaminated water coming from tap near Shiv Mandir Road in Ward 12, smells bad.",Ward 12,water_supply,Ward 12,water_supply,low,not specified
CMP00484,2026-06-01,"Illegal dumping of construction waste near Railway Station Road in Ward 3, causing blockage.",Ward 3,garbage,Ward 3,garbage,low,not specified
CMP00493,2026-06-01,Heavy waterlogging near Old Bus Stand in Ward 8 since 10 days. Road is completely flooded.,Ward 8,waterlogging,Ward 8,waterlogging,low,10 day
CMP00140,2026-06-02,"Road near Railway Station Road in Ward 13 badly damaged after rains, potholes everywhere.",Ward 13,pothole,Ward 13,pothole,low,not specified
CMP00400,2026-06-02,"Road near Ambedkar Park in Ward 3 badly damaged after rains, potholes everywhere.",Ward 3,pothole,Ward 3,pothole,low,not specified
CMP00590,2026-06-02,"Sir humara area Ward 11 Gandhi Chowk ke paas paani bhar gaya hai, bahut dino se yehi problem hai.",Ward 11,waterlogging,Ward 11,waterlogging,low,not specified
CMP00600,2026-06-02,Complaint raised earlier too - streetlight at New Market Complex (Ward 1) still not fixed.,Ward 1,streetlight,Ward 1,streetlight,medium,not specified
CMP00225,2026-06-03,"Overflowing garbage bin at Ring Road Junction, Ward 3, please send collection truck.",Ward 3,garbage,Ward 3,garbage,low,not specified
CMP00284,2026-06-03,"Stagnant water near Main Bazaar for 10 days, mosquito breeding ground, Ward 12 residents worried.",Ward 12,waterlogging,Ward 12,waterlogging,medium,10 day
CMP00311,2026-06-03,"Stagnant water near Shiv Mandir Road for 10 days, mosquito breeding ground, Ward 12 residents worried.",Ward 12,waterlogging,Ward 12,waterlogging,medium,10 day
CMP00461,2026-06-03,"Road near Petrol Pump Circle in Ward 10 badly damaged after rains, potholes everywhere.",Ward 10,pothole,Ward 10,pothole,low,not specified
CMP00003,2026-06-04,"Drain overflow causing water to enter houses near Main Bazaar, Ward 1. Please help urgently.",Ward 1,waterlogging,Ward 1,waterlogging,high,not specified
CMP00117,2026-06-04,"Every monsoon the road near Railway Station Road in Ward 12 gets waterlogged, no permanent solution done yet.",Ward 12,waterlogging,Ward 12,waterlogging,low,not specified
CMP00127,2026-06-04,Complaint raised earlier too - streetlight at Govt School (Ward 11) still not fixed.,Ward 11,streetlight,Ward 11,streetlight,medium,not specified
CMP00157,2026-06-04,"Illegal dumping of construction waste near Ring Road Junction in Ward 1, causing blockage.",Ward 1,garbage,Ward 1,garbage,low,not specified
CMP00224,2026-06-04,"No water supply near Petrol Pump Circle, Ward 7 for several months, please check pipeline.",Ward 7,water_supply,Ward 7,water_supply,medium,several months
CMP00287,2026-06-05,Complaint raised earlier too - streetlight at Ambedkar Park (Ward 7) still not fixed.,Ward 7,streetlight,Ward 7,streetlight,medium,not specified
CMP00052,2026-06-06,"Sewage line broken near Ring Road Junction, Ward 7, dirty water flowing on road for over a month.",Ward 7,sewage,Ward 7,sewage,medium,not specified
CMP00089,2026-06-06,"Drain overflow causing water to enter houses near Old Bus Stand, Ward 10. Please help urgently.",Ward 10,waterlogging,Ward 10,waterlogging,high,not specified
CMP00272,2026-06-06,"Multiple streetlights down on the stretch near Ring Road Junction in Ward 9, women feel unsafe.",Ward 9,streetlight,Ward 9,streetlight,high,not specified
CMP00325,2026-06-06,"Stagnant water near Shiv Mandir Road for 3 weeks, mosquito breeding ground, Ward 11 residents worried.",Ward 11,waterlogging,Ward 11,waterlogging,medium,3 week
CMP00535,2026-06-06,"Illegal dumping of construction waste near Main Bazaar in Ward 8, causing blockage.",Ward 8,garbage,Ward 8,garbage,low,not specified
CMP00141,2026-06-07,"Multiple streetlights down on the stretch near Shiv Mandir Road in Ward 8, women feel unsafe.",Ward 8,streetlight,Ward 8,streetlight,high,not specified
CMP00166,2026-06-07,"Irregular water supply timing in Ward 6 near Housing Colony Gate, affecting daily routine.",Ward 6,water_supply,Ward 6,water_supply,low,not specified
