complaint_id,date,raw_text,_true_ward,_true_issue
CMP00103,2026-06-01,"Sir humara area Ward 13 Govt School ke paas paani bhar gaya hai, bahut dino se yehi problem hai.",Ward 13,waterlogging
CMP00164,2026-06-01,"Stagnant water near New Market Complex for over a month, mosquito breeding ground, Ward 4 residents worried.",Ward 4,waterlogging
CMP00255,2026-06-01,"Contaminated water coming from tap near Shiv Mandir Road in Ward 12, smells bad.",Ward 12,water_supply
CMP00484,2026-06-01,"Illegal dumping of construction waste near Railway Station Road in Ward 3, causing blockage.",Ward 3,garbage
CMP00493,2026-06-01,Heavy waterlogging near Old Bus Stand in Ward 8 since 10 days. Road is completely flooded.,Ward 8,waterlogging
CMP00140,2026-06-02,"Road near Railway Station Road in Ward 13 badly damaged after rains, potholes everywhere.",Ward 13,pothole
CMP00400,2026-06-02,"Road near Ambedkar Park in Ward 3 badly damaged after rains, potholes everywhere.",Ward 3,pothole
CMP00590,2026-06-02,"Sir humara area Ward 11 Gandhi Chowk ke paas paani bhar gaya hai, bahut dino se yehi problem hai.",Ward 11,waterlogging
CMP00600,2026-06-02,Complaint raised earlier too - streetlight at New Market Complex (Ward 1) still not fixed.,Ward 1,streetlight
CMP00225,2026-06-03,"Overflowing garbage bin at Ring Road Junction, Ward 3, please send collection truck.",Ward 3,garbage
CMP00284,2026-06-03,"Stagnant water near Main Bazaar for 10 days, mosquito breeding ground, Ward 12 residents worried.",Ward 12,waterlogging
CMP00311,2026-06-03,"Stagnant water near Shiv Mandir Road for 10 days, mosquito breeding ground, Ward 12 residents worried.",Ward 12,waterlogging
CMP00461,2026-06-03,"Road near Petrol Pump Circle in Ward 10 badly damaged after rains, potholes everywhere.",Ward 10,pothole
CMP00003,2026-06-04,"Drain overflow causing water to enter houses near Main Bazaar, Ward 1. Please help urgently.",Ward 1,waterlogging
CMP00117,2026-06-04,"Every monsoon the road near Railway Station Road in Ward 12 gets waterlogged, no permanent solution done yet.",Ward 12,waterlogging
CMP00127,2026-06-04,Complaint raised earlier too - streetlight at Govt School (Ward 11) still not fixed.,Ward 11,streetlight
CMP00157,2026-06-04,"Illegal dumping of construction waste near Ring Road Junction in Ward 1, causing blockage.",Ward 1,garbage
CMP00224,2026-06-04,"No water supply near Petrol Pump Circle, Ward 7 for several months, please check pipeline.",Ward 7,water_supply
CMP00287,2026-06-05,Complaint raised earlier too - streetlight at Ambedkar Park (Ward 7) still not fixed.,Ward 7,streetlight
CMP00052,2026-06-06,"Sewage line broken near Ring Road Junction, Ward 7, dirty water flowing on road for over a month.",Ward 7,sewage
CMP00089,2026-06-06,"Drain overflow causing water to enter houses near Old Bus Stand, Ward 10. Please help urgently.",Ward 10,waterlogging
CMP00272,2026-06-06,"Multiple streetlights down on the stretch near Ring Road Junction in Ward 9, women feel unsafe.",Ward 9,streetlight
CMP00325,2026-06-06,"Stagnant water near Shiv Mandir Road for 3 weeks, mosquito breeding ground, Ward 11 residents worried.",Ward 11,waterlogging
CMP00535,2026-06-06,"Illegal dumping of construction waste near Main Bazaar in Ward 8, causing blockage.",Ward 8,garbage
CMP00141,2026-06-07,"Multiple streetlights down on the stretch near Shiv Mandir Road in Ward 8, women feel unsafe.",Ward 8,streetlight
CMP00166,2026-06-07,"Irregular water supply timing in Ward 6 near Housing Colony Gate, affecting daily routine.",Ward 6,water_supply
CMP00240,2026-06-07,"Manhole overflow near New Market Complex in Ward 12, extremely unhygienic condition.",Ward 12,sewage
CMP00249,2026-06-07,"Irregular water supply timing in Ward 11 near Ring Road Junction, affecting daily routine.",Ward 11,water_supply
CMP00458,2026-06-07,"Streetlight near New Market Complex, Ward 13 not working for 5 days, safety issue at night.",Ward 13,streetlight
CMP00014,2026-06-08,"Overflowing garbage bin at Petrol Pump Circle, Ward 7, please send collection truck.",Ward 7,garbage
CMP00035,2026-06-08,Heavy waterlogging near Riverside Lane in Ward 4 since 5 days. Road is completely flooded.,Ward 4,waterlogging
CMP00045,2026-06-08,"Streetlight near New Market Complex, Ward 3 not working for 3 weeks, safety issue at night.",Ward 3,streetlight
CMP00326,2026-06-08,"Manhole overflow near Community Hall in Ward 11, extremely unhygienic condition.",Ward 11,sewage
CMP00345,2026-06-08,"Sir humara area Ward 12 Ambedkar Park ke paas paani bhar gaya hai, bahut dino se yehi problem hai.",Ward 12,waterlogging
CMP00381,2026-06-08,Complaint raised earlier too - streetlight at Ambedkar Park (Ward 3) still not fixed.,Ward 3,streetlight
CMP00419,2026-06-08,Complaint raised earlier too - streetlight at Housing Colony Gate (Ward 11) still not fixed.,Ward 11,streetlight
CMP00015,2026-06-09,"Every monsoon the road near Govt School in Ward 4 gets waterlogged, no permanent solution done yet.",Ward 4,waterlogging
CMP00121,2026-06-09,Municipal garbage van has skipped our street near Petrol Pump Circle (Ward 12) for 10 days.,Ward 12,garbage
CMP00185,2026-06-09,Complaint raised earlier too - streetlight at Gandhi Chowk (Ward 12) still not fixed.,Ward 12,streetlight
CMP00226,2026-06-09,"Stagnant water near Main Bazaar for 2 days, mosquito breeding ground, Ward 3 residents worried.",Ward 3,waterlogging
CMP00246,2026-06-09,"Irregular water supply timing in Ward 1 near Petrol Pump Circle, affecting daily routine.",Ward 1,water_supply
CMP00575,2026-06-09,"No water supply near Gandhi Chowk, Ward 10 for over a month, please check pipeline.",Ward 10,water_supply
CMP00580,2026-06-09,"Same pothole near Petrol Pump Circle (Ward 6) reported 5 days ago, still not repaired.",Ward 6,pothole
CMP00595,2026-06-09,"Sir humara area Ward 12 Gandhi Chowk ke paas paani bhar gaya hai, bahut dino se yehi problem hai.",Ward 12,waterlogging
CMP00042,2026-06-10,"Stagnant water near Sector 4 Market for several months, mosquito breeding ground, Ward 3 residents worried.",Ward 3,waterlogging
CMP00153,2026-06-10,"Every monsoon the road near New Market Complex in Ward 4 gets waterlogged, no permanent solution done yet.",Ward 4,waterlogging
CMP00257,2026-06-10,Complaint raised earlier too - streetlight at Industrial Area Gate (Ward 4) still not fixed.,Ward 4,streetlight
CMP00258,2026-06-10,"Road near Gandhi Chowk in Ward 7 badly damaged after rains, potholes everywhere.",Ward 7,pothole
CMP00342,2026-06-10,"Multiple streetlights down on the stretch near New Market Complex in Ward 11, women feel unsafe.",Ward 11,streetlight
CMP00478,2026-06-10,"Garbage not collected for a week near Govt School, Ward 11. Foul smell spreading.",Ward 11,garbage
CMP00547,2026-06-10,Municipal garbage van has skipped our street near Govt School (Ward 8) for 3 weeks.,Ward 8,garbage
CMP00050,2026-06-11,"Sewage line broken near Gandhi Chowk, Ward 7, dirty water flowing on road for over a month.",Ward 7,sewage
CMP00087,2026-06-11,Complaint raised earlier too - streetlight at Old Bus Stand (Ward 10) still not fixed.,Ward 10,streetlight
CMP00111,2026-06-11,Municipal garbage van has skipped our street near Community Hall (Ward 12) for several months.,Ward 12,garbage
CMP00347,2026-06-11,"Sir humara area Ward 13 Ambedkar Park ke paas paani bhar gaya hai, bahut dino se yehi problem hai.",Ward 13,waterlogging
CMP00415,2026-06-11,"Irregular water supply timing in Ward 12 near Industrial Area Gate, affecting daily routine.",Ward 12,water_supply
CMP00467,2026-06-11,"Road near Petrol Pump Circle in Ward 4 badly damaged after rains, potholes everywhere.",Ward 4,pothole
CMP00488,2026-06-11,"Stagnant water near Govt School for several months, mosquito breeding ground, Ward 12 residents worried.",Ward 12,waterlogging
CMP00578,2026-06-11,Complaint raised earlier too - streetlight at Old Bus Stand (Ward 2) still not fixed.,Ward 2,streetlight
CMP00186,2026-06-12,"Road near Sector 4 Market in Ward 4 badly damaged after rains, potholes everywhere.",Ward 4,pothole
CMP00271,2026-06-12,"Illegal dumping of construction waste near Railway Station Road in Ward 1, causing blockage.",Ward 1,garbage
